benchmark,gamma,iterations,epsilon,class_count,max_value_error,time_s
tiger_full_actions,0.9,10.0,0.4,6.0,5.551115123125783e-17,0.0307
tiger_full_actions,0.9,10.0,0.5,5.0,5.551115123125783e-17,0.0302
tiger_full_actions,0.9,10.0,0.6,5.0,5.551115123125783e-17,0.0302
tiger_full_actions,0.9,20.0,0.0,6.0,5.551115123125783e-17,0.055
tiger_full_actions,0.9,20.0,0.1,6.0,5.551115123125783e-17,0.0556
tiger_full_actions,0.9,20.0,0.2,6.0,5.551115123125783e-17,0.0563
tiger_full_actions,0.9,20.0,0.3,6.0,5.551115123125783e-17,0.0558
tiger_full_actions,0.9,20.0,0.4,6.0,5.551115123125783e-17,0.0549
tiger_full_actions,0.9,20.0,0.5,5.0,5.551115123125783e-17,0.054
tiger_full_actions,0.9,20.0,0.6,5.0,5.551115123125783e-17,0.0543
tiger_full_actions,0.9,50.0,0.0,6.0,5.551115123125783e-17,0.1275
tiger_full_actions,0.9,50.0,0.1,6.0,5.551115123125783e-17,0.1283
tiger_full_actions,0.9,50.0,0.2,6.0,5.551115123125783e-17,0.1295
tiger_full_actions,0.9,50.0,0.3,6.0,5.551115123125783e-17,0.1267
tiger_full_actions,0.9,50.0,0.4,6.0,5.551115123125783e-17,0.1306
tiger_full_actions,0.9,50.0,0.5,5.0,5.551115123125783e-17,0.1317
tiger_full_actions,0.9,50.0,0.6,5.0,5.551115123125783e-17,0.1313
tiger_full_actions,0.99,5.0,0.0,6.0,5.551115123125783e-17,0.018
tiger_full_actions,0.99,5.0,0.1,6.0,5.551115123125783e-17,0.018
tiger_full_actions,0.99,5.0,0.2,6.0,5.551115123125783e-17,0.0183
tiger_full_actions,0.99,5.0,0.3,6.0,5.551115123125783e-17,0.0185
tiger_full_actions,0.99,5.0,0.4,6.0,5.551115123125783e-17,0.0187
tiger_full_actions,0.99,5.0,0.5,5.0,5.551115123125783e-17,0.0185
tiger_full_actions,0.99,5.0,0.6,5.0,5.551115123125783e-17,0.0185
tiger_full_actions,0.99,10.0,0.0,6.0,5.551115123125783e-17,0.0313
tiger_full_actions,0.99,10.0,0.1,6.0,5.551115123125783e-17,0.0329
tiger_full_actions,0.99,10.0,0.2,6.0,5.551115123125783e-17,0.0319
tiger_full_actions,0.99,10.0,0.3,6.0,5.551115123125783e-17,0.0303
tiger_full_actions,0.99,10.0,0.4,6.0,5.551115123125783e-17,0.0301
tiger_full_actions,0.99,10.0,0.5,5.0,5.551115123125783e-17,0.0301
tiger_full_actions,0.99,10.0,0.6,5.0,5.551115123125783e-17,0.0303
tiger_full_actions,0.99,20.0,0.0,6.0,5.551115123125783e-17,0.0547
tiger_full_actions,0.99,20.0,0.1,6.0,5.551115123125783e-17,0.0555
tiger_full_actions,0.99,20.0,0.2,6.0,5.551115123125783e-17,0.0558
tiger_full_actions,0.99,20.0,0.3,6.0,5.551115123125783e-17,0.0543
tiger_full_actions,0.99,20.0,0.4,6.0,5.551115123125783e-17,0.0542
tiger_full_actions,0.99,20.0,0.5,5.0,5.551115123125783e-17,0.0543
tiger_full_actions,0.99,20.0,0.6,5.0,5.551115123125783e-17,0.0546
tiger_full_actions,0.99,50.0,0.0,6.0,5.551115123125783e-17,0.1272
tiger_full_actions,0.99,50.0,0.1,6.0,5.551115123125783e-17,0.1272
tiger_full_actions,0.99,50.0,0.2,6.0,5.551115123125783e-17,0.1271
tiger_full_actions,0.99,50.0,0.3,6.0,5.551115123125783e-17,0.1271
tiger_full_actions,0.99,50.0,0.4,6.0,5.551115123125783e-17,0.1307
tiger_full_actions,0.99,50.0,0.5,5.0,5.551115123125783e-17,0.1298
tiger_full_actions,0.99,50.0,0.6,5.0,5.551115123125783e-17,0.1302
