benchmark,horizon,m,epsilon,k,total_fscs,exact_classes,approx_classes,adjusted_rand_index,merge_fidelity
gridworld_3x3,2.0,1.0,0.6,3.0,5.0,3.0,3.0,1.0,1.0
gridworld_3x3,2.0,1.0,0.6,5.0,5.0,3.0,3.0,1.0,1.0
gridworld_3x3,2.0,2.0,0.0,1.0,6405.0,6.0,6.0,1.0,1.0
gridworld_3x3,2.0,2.0,0.0,3.0,6405.0,6.0,6.0,1.0,1.0
gridworld_3x3,2.0,2.0,0.0,5.0,6405.0,6.0,6.0,1.0,1.0
gridworld_3x3,2.0,2.0,0.0,10.0,6405.0,6.0,6.0,1.0,1.0
gridworld_3x3,2.0,2.0,0.1,1.0,6405.0,6.0,6.0,1.0,1.0
gridworld_3x3,2.0,2.0,0.1,3.0,6405.0,6.0,6.0,1.0,1.0
gridworld_3x3,2.0,2.0,0.1,5.0,6405.0,6.0,6.0,1.0,1.0
gridworld_3x3,2.0,2.0,0.1,10.0,6405.0,6.0,6.0,1.0,1.0
gridworld_3x3,2.0,2.0,0.2,1.0,6405.0,6.0,4.0,0.9805013927576601,0.9904761904761905
gridworld_3x3,2.0,2.0,0.2,3.0,6405.0,6.0,6.0,1.0,1.0
gridworld_3x3,2.0,2.0,0.2,5.0,6405.0,6.0,6.0,1.0,1.0
gridworld_3x3,2.0,2.0,0.2,10.0,6405.0,6.0,6.0,1.0,1.0
gridworld_3x3,2.0,2.0,0.3,1.0,6405.0,6.0,4.0,0.9805013927576601,0.9904761904761905
gridworld_3x3,2.0,2.0,0.3,3.0,6405.0,6.0,6.0,1.0,1.0
gridworld_3x3,2.0,2.0,0.3,5.0,6405.0,6.0,6.0,1.0,1.0
gridworld_3x3,2.0,2.0,0.3,10.0,6405.0,6.0,6.0,1.0,1.0
gridworld_3x3,2.0,2.0,0.4,1.0,6405.0,5.0,4.0,0.9902352831767879,0.9952380952380953
gridworld_3x3,2.0,2.0,0.4,3.0,6405.0,5.0,5.0,1.0,1.0
gridworld_3x3,2.0,2.0,0.4,5.0,6405.0,5.0,5.0,1.0,1.0
gridworld_3x3,2.0,2.0,0.4,10.0,6405.0,5.0,5.0,1.0,1.0
gridworld_3x3,2.0,2.0,0.5,1.0,6405.0,3.0,3.0,1.0,1.0
gridworld_3x3,2.0,2.0,0.5,3.0,6405.0,3.0,3.0,1.0,1.0
gridworld_3x3,2.0,2.0,0.5,5.0,6405.0,3.0,3.0,1.0,1.0
gridworld_3x3,2.0,2.0,0.5,10.0,6405.0,3.0,3.0,1.0,1.0
gridworld_3x3,2.0,2.0,0.6,1.0,6405.0,3.0,3.0,1.0,1.0
gridworld_3x3,2.0,2.0,0.6,3.0,6405.0,3.0,3.0,1.0,1.0
gridworld_3x3,2.0,2.0,0.6,5.0,6405.0,3.0,3.0,1.0,1.0
gridworld_3x3,2.0,2.0,0.6,10.0,6405.0,3.0,3.0,1.0,1.0
